"","city","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi","income_per_capita","prop_white","prop_black","total.sale","total.volume","price"
"248","Wilton",94.9,25.5,3.7,35409,2808,2771,7,0,0,0,4,26,12.6100427350427,98.6823361823362,0.249287749287749,77522,6693,11.5825489317197
"249","Polk City",98.1,39.7,0.9,49960,4115,4038,0,0,13,0,5,59,12.1409477521264,98.1287970838396,0,190399,13927,13.6712141882674
"250","Tiffin",96.7,30.5,1.5,41580,2530,2221,43,0,31,0,129,106,16.4347826086957,87.7865612648221,1.699604743083,69264,4949,13.9955546575066
"251","New Virginia",94.6,13.8,7.8,32143,553,550,0,0,3,0,0,0,58.124773960217,99.4575045207957,0,31585,2322,13.6024978466839
"252","Ellsworth",95.1,25.6,1.5,31612,574,494,0,0,4,0,68,8,55.0731707317073,86.0627177700349,0,50688,3908,12.9703172978506
"253","Reinbeck",96.9,24.1,7.9,36228,1765,1750,0,0,7,0,0,8,20.5257790368272,99.1501416430595,0,34098,2892,11.7904564315353
"254","De Soto",92.2,22,6.5,30568,1065,1033,0,0,2,0,0,30,28.7023474178404,96.9953051643192,0,73036,5463,13.3692110561962
"255","Neola",97.3,17.6,1.9,35929,978,963,0,0,0,0,0,15,36.7372188139059,98.4662576687116,0,42487,3052,13.9210353866317
"256","Casey",91.7,10.7,3.7,25938,391,375,0,0,0,0,0,16,66.3375959079284,95.9079283887468,0,25446,1678,15.1644815256257
"257","Adair",96.6,19,6.8,32639,813,788,4,1,4,0,3,13,40.1463714637146,96.9249692496925,0.4920049200492,43108,2755,15.6471869328494
"258","Walnut",91.4,15.3,5,27067,706,687,0,0,6,0,2,11,38.3385269121813,97.3087818696884,0,34582,2283,15.1476127901883
"259","Lamoni",87.8,32.9,6,9158,2616,2309,162,34,6,14,20,71,3.50076452599388,88.2645259938838,6.19266055045872,71191,4868,14.6242810188989
"260","Center Point",96.2,22.5,2.4,40313,2507,2433,21,0,4,0,0,49,16.080175508576,97.0482648583965,0.837654567211807,71366,6701,10.6500522310103
"261","Garnavillo",85.3,13.2,1.6,26719,824,811,2,1,0,0,0,10,32.4259708737864,98.4223300970874,0.242718446601942,6620,530,12.4905660377358
"262","Alton",90.1,27,0.8,30708,1325,1211,9,0,6,0,79,20,23.1758490566038,91.3962264150943,0.679245283018868,78063,5970,13.0758793969849
"263","Palo",95.9,20.2,2.7,40558,1036,998,15,0,0,0,0,23,39.1486486486486,96.3320463320463,1.44787644787645,54675,3842,14.230869338886
"264","Sloan",96,25.3,3.2,31449,1192,1104,0,77,0,0,0,11,26.383389261745,92.6174496644295,0,71071,4949,14.3606789250354
"265","Windsor Heights",94.5,47,6.4,37525,4980,4319,26,0,189,0,249,197,7.535140562249,86.7269076305221,0.522088353413655,58978,3941,14.9652372494291
"266","Buffalo Center",89,22.6,4,35432,841,830,0,0,0,0,0,11,42.1307966706302,98.692033293698,0,60520,5323,11.369528461394
"267","Garner",96.3,26.7,0,31378,3091,3003,13,0,0,9,1,65,10.1514073115497,97.153024911032,0.420575865415723,155221,13081,11.8661417322835
"268","Pomeroy",91.3,16.8,2.7,20875,729,687,27,5,0,0,0,10,28.6351165980796,94.238683127572,3.7037037037037,4718,410,11.5073170731707
"269","Fayette",87.3,30.7,8.5,6563,1196,930,125,0,79,0,28,34,5.48745819397993,77.7591973244147,10.4515050167224,87150,6358,13.7071406102548
"270","Coon Rapids",91.4,20.6,3.8,30801,1371,1358,0,9,0,0,0,4,22.4660831509847,99.0517870167761,0,62558,4663,13.4158267209951
"271","West Liberty",75.3,13.8,6.4,30628,3737,3074,0,0,114,12,345,192,8.1958790473642,82.2584961198823,0,168690,10271,16.4239119852011
"272","Sanborn",89.5,16.1,3.8,30848,1405,1354,0,0,0,0,33,18,21.955871886121,96.3701067615658,0,65609,5609,11.6970939561419
"273","Okoboji",99.2,48.6,5.5,28500,814,775,0,0,23,0,0,16,35.012285012285,95.2088452088452,0,29233,2192,13.3362226277372
"274","Treynor",98.2,35.9,0.4,37500,957,952,0,0,0,0,0,5,39.1849529780564,99.4775339602926,0,25501,1903,13.4004203888597
"275","Malvern",90.2,20.8,4.5,38750,982,973,1,4,0,0,4,0,39.4602851323829,99.0835030549898,0.10183299389002,30048,2183,13.7645442052222
"276","Dows",91.2,16.2,2.6,24792,497,459,15,0,0,0,13,10,49.8832997987928,92.354124748491,3.01810865191147,19936,1676,11.8949880668258
"277","Huxley",95.5,37,7.5,39750,3474,3410,19,0,45,0,0,0,11.4421416234888,98.1577432354634,0.54691997697179,75758,5047,15.0105012878938
"278","Grand Junction",91.7,9.6,13.9,24643,838,838,0,0,0,0,0,0,29.4069212410501,100,0,20096,1535,13.0918566775244
"279","Exira",86.6,8.1,5.9,26767,881,860,11,0,0,0,0,10,30.3825198637911,97.6163450624291,1.24858115777526,31792,2484,12.7987117552335
"280","Nora Springs",92.7,15,2.8,30074,1567,1520,10,0,0,0,2,35,19.1920867900447,97.0006381620932,0.638162093171666,26940,2341,11.507902605724
"281","Akron",86.5,14.3,4.6,25769,1485,1477,0,0,0,0,0,8,17.352861952862,99.4612794612795,0,31070,2495,12.4529058116232
"282","Gilmore City",91.7,13.6,7.5,30000,472,470,0,0,2,0,0,0,63.5593220338983,99.5762711864407,0,19495,1627,11.9821757836509
"283","Ely",97.6,37.4,4,45455,2133,2039,5,0,18,0,7,64,21.3103609939053,95.5930614158462,0.23441162681669,30647,2191,13.9876768598813
"284","Afton",89.4,11.5,5.7,27457,967,953,2,6,2,0,0,4,28.3940020682523,98.5522233712513,0.206825232678387,31999,2394,13.3663324979114
"285","Preston",90.4,13.9,1.4,29219,1037,1029,0,2,0,0,0,6,28.1764705882353,99.228543876567,0,10143,846,11.9893617021277
"286","Clarksville",86.7,10.5,5.8,30443,1276,1253,10,0,0,0,0,13,23.8581504702194,98.1974921630094,0.783699059561128,40626,3454,11.7620150550087
"287","Scranton",90.4,9.8,14.4,22950,565,565,0,0,0,0,0,0,40.6194690265487,100,0,20794,1530,13.5908496732026
"288","Delmar",92.8,16.8,5.4,31597,497,472,0,17,0,0,6,2,63.5754527162978,94.9698189134809,0,11239,883,12.7281993204983
"289","Glidden",93.9,19.1,5.5,27313,1422,1400,17,5,0,0,0,0,19.2074542897328,98.4528832630099,1.19549929676512,28285,2130,13.2793427230047
"290","Walker",93.1,10.9,2.5,35742,841,841,0,0,0,0,0,0,42.499405469679,100,0,21135,1567,13.4875558391832
"291","Colo",93.3,17.2,5,30964,886,875,0,0,0,0,2,9,34.9480812641084,98.7584650112867,0,39066,3032,12.8845646437995
"292","Urbana",93.6,22.4,2,44048,1444,1408,30,2,0,0,0,4,30.5041551246537,97.5069252077562,2.07756232686981,34925,2702,12.9256106587713
"293","Buffalo",85.9,5.6,3.2,31575,1226,1203,5,12,0,0,2,4,25.7544861337684,98.1239804241436,0.407830342577488,33458,2563,13.0542333203277
"294","Sheffield",91.8,17.5,5.7,31210,1283,1265,0,0,4,0,4,10,24.3257989088075,98.5970381917381,0,24107,2081,11.5843344545891
"295","Donnellson",92.3,14.2,2.2,29758,860,854,0,0,0,0,0,6,34.6023255813953,99.3023255813954,0,20303,1334,15.21964017991
"296","Goldfield",89.7,10.3,2.9,30673,628,626,0,0,2,0,0,0,48.8423566878981,99.6815286624204,0,20179,1732,11.6506928406467
"297","Traer",92.2,20.2,5,31740,1736,1705,0,0,6,3,3,19,18.2834101382488,98.2142857142857,0,95442,8152,11.7078017664377
"298","Mechanicsville",94.9,21.1,1.1,31607,1052,1047,0,0,0,0,0,5,30.0446768060837,99.5247148288973,0,28108,1970,14.2680203045685
"299","Ireton",91.5,22,1.6,26481,665,601,2,4,2,0,0,56,39.821052631579,90.3759398496241,0.300751879699248,16087,1075,14.9646511627907
"300","Durant",93.9,22.8,1.2,36226,2032,1976,0,8,5,0,0,43,17.8277559055118,97.244094488189,0,69461,5948,11.6780430396772
"301","Sutherland",92.6,12,2.6,27000,595,586,4,0,0,3,0,2,45.3781512605042,98.4873949579832,0.672268907563025,40862,3265,12.5151607963247
"302","Allison",92.6,16.5,2.9,33583,1222,1148,9,0,59,0,0,6,27.4819967266776,93.9443535188216,0.736497545008183,75212,6695,11.2340552651232
"303","Hamburg",89.7,16.6,3.7,25417,1115,1085,0,5,0,0,0,25,22.7955156950673,97.3094170403588,0,20466,1378,14.8519593613933
"304","Whittemore",97.7,12.3,2,31333,504,485,12,5,0,0,2,0,62.1686507936508,96.2301587301587,2.38095238095238,13344,973,13.7142857142857
"305","Slater",98.4,39.1,1,38707,1617,1603,0,7,0,0,0,7,23.9375386518244,99.1341991341991,0,43410,3189,13.6124176857949
"306","Woodward",77.9,9.2,4,33347,1621,1524,43,0,0,0,7,47,20.571869216533,94.0160394818014,2.652683528686,28494,2194,12.9872379216044
"307","Farmington",83.1,8.5,4.3,22340,961,913,0,0,0,0,0,48,23.2466181061394,95.0052029136316,0,27643,1998,13.8353353353353
"308","Grand Mound",96,16.7,4.2,29107,557,549,1,0,0,0,0,7,52.2567324955117,98.5637342908438,0.179533213644524,37275,2967,12.5631951466127
"309","Farley",95.2,17,0.8,37586,1688,1685,0,0,0,0,0,3,22.2665876777251,99.8222748815166,0,29061,2306,12.6023417172593
"310","Rock Valley",89,19.8,3.6,26688,3623,3553,21,0,13,0,23,13,7.3662710460944,98.0678995307756,0.57963014076732,128708,9055,14.2140254003313
"311","Pacific Junction",76.5,6.3,3.4,25417,407,384,19,4,0,0,0,0,62.4496314496314,94.3488943488943,4.66830466830467,95733,6414,14.9256314312442
"312","Fonda",88.6,13.9,3.9,28958,525,505,2,0,0,2,0,16,55.1580952380952,96.1904761904762,0.380952380952381,14929,1152,12.9592013888889
"313","Maxwell",96.4,20.4,1.9,36042,839,809,0,0,21,0,0,9,42.958283671037,96.4243146603099,0,31442,2481,12.6731156791616
"314","Van Meter",96.1,32.7,1.4,36771,1256,1247,0,0,2,0,0,7,29.2762738853503,99.2834394904459,0,18148,1379,13.1602610587382
"315","Sully",93.9,15.3,1.9,30071,843,781,22,0,0,0,0,40,35.6714116251483,92.6453143534994,2.60972716488731,14403,969,14.8637770897833
"316","Carter Lake",90.2,17.4,8.7,31875,3765,3548,102,26,0,0,14,75,8.46613545816733,94.2363877822045,2.70916334661355,76234,5238,14.5540282550592
"317","Swea City",88.2,14.9,1,24844,559,511,0,19,0,0,16,13,44.4436493738819,91.4132379248658,0,47254,3862,12.2356292076644
"318","Prairie City",94.1,22.2,2.5,36050,1973,1931,9,0,3,0,2,28,18.271667511404,97.8712620375063,0.456158134820071,22182,1913,11.5953998954522
"319","Wellsburg",92.8,20.2,4.8,31875,929,903,0,0,3,0,0,23,34.3110871905275,97.2012917115178,0,18058,1661,10.8717639975918
"320","Peosta",95.4,32,2.8,36406,1881,1711,95,1,6,0,0,68,19.3545986177565,90.9622541201489,5.05050505050505,32478,2221,14.6231427285007
"321","Bevington",90,0,5.9,29167,54,53,0,1,0,0,0,0,540.12962962963,98.1481481481482,0,36263,2593,13.9849595063633
"322","Baldwin",90.9,7.3,6.7,19688,146,145,0,0,0,0,0,1,134.849315068493,99.3150684931507,0,28270,2285,12.3719912472648
"323","Bondurant",94.2,34.8,1.1,43068,5079,4939,0,0,82,0,0,58,8.4796219728293,97.2435518802914,0,82743,5926,13.962706716166
"324","Elma",92.3,12,0.8,30819,562,560,0,0,0,0,0,2,54.8380782918149,99.644128113879,0,75488,5982,12.6191909060515
"325","Hudson",98.3,34.5,4.7,41672,2414,2392,0,0,11,0,11,0,17.2626346313173,99.0886495443248,0,31974,2249,14.2169853268119
"326","Dakota City",90.6,9.2,2.8,31250,713,711,0,0,0,0,0,2,43.8288920056101,99.7194950911641,0,12760,1195,10.6778242677824
"327","Early",95.9,17.2,5.8,27330,699,650,36,0,0,0,0,13,39.0987124463519,92.9899856938484,5.15021459227468,19451,1409,13.8048261178141
"328","Nashua",91.6,13.6,7.6,26613,1613,1607,0,0,0,0,0,6,16.4990700557967,99.6280223186609,0,37382,3258,11.4739103744629
"329","Lovilia",91.1,5.3,16.9,25893,600,600,0,0,0,0,0,0,43.155,100,0,7415,456,16.2609649122807
"330","Murray",93.2,7.6,5.3,30801,661,655,0,0,0,0,0,6,46.5975794251135,99.0922844175492,0,1572,117,13.4358974358974
"331","Lisbon",93.8,26.2,4.1,36716,1908,1827,31,18,0,0,13,19,19.2431865828092,95.7547169811321,1.62473794549266,76510,6020,12.7093023255814
"332","Rolfe",82.4,15.2,3.5,26094,572,535,0,0,0,0,30,7,45.6188811188811,93.5314685314685,0,21697,1470,14.7598639455782
"333","Harpers Ferry",89.1,14.7,4.5,24063,268,268,0,0,0,0,0,0,89.7873134328358,100,0,17293,1386,12.476911976912
"334","Earlham",97.4,28,2.8,37649,1523,1487,36,0,0,0,0,0,24.72028890348,97.6362442547603,2.36375574523966,19367,1496,12.9458556149733
"335","Granger",93.4,38.3,1.8,43856,1461,1414,7,1,0,0,35,4,30.0177960301164,96.7830253251198,0.479123887748118,25701,2226,11.5458221024259
"336","Zwingle",83.6,7.5,0,38125,104,97,0,0,0,0,0,7,366.586538461538,93.2692307692308,0,24733,1659,14.9083785412899
"337","Graettinger",88.3,11.2,2.5,29432,716,700,12,0,0,0,4,0,41.1061452513966,97.7653631284916,1.67597765363128,31845,2651,12.0124481327801
"338","Elkader",92.8,24,4.6,29659,1325,1309,6,0,4,0,0,6,22.3841509433962,98.7924528301887,0.452830188679245,43094,3117,13.8254732114212
"339","Princeton",93,24.3,4.4,40237,1100,1027,0,0,0,0,5,68,36.5790909090909,93.3636363636364,0,16312,1407,11.5934612651031
"340","Aurelia",92.7,16.6,5.5,32305,955,929,0,0,14,0,0,12,33.82722513089,97.2774869109948,0,8467,652,12.9861963190184
"341","Springville",94.9,16.1,6.5,35781,1070,1070,0,0,0,0,0,0,33.4401869158878,100,0,16463,1386,11.8780663780664
"342","Hazleton",90.9,3.6,8,24375,794,775,2,12,0,0,0,5,30.6989924433249,97.6070528967254,0.251889168765743,25351,1709,14.8338209479228
"343","Eldon",83.6,7.3,12.2,28750,890,874,0,10,0,0,6,0,32.3033707865169,98.2022471910112,0,17846,1315,13.571102661597
"344","Martensdale",93.2,9.7,7.2,31765,452,448,0,0,0,0,1,3,70.2765486725664,99.1150442477876,0,11368,712,15.9662921348315
"345","Wheatland",89.1,10.2,6.7,30833,712,688,0,0,4,0,0,20,43.3047752808989,96.6292134831461,0,10657,820,12.9963414634146
"346","Lost Nation",84.3,14.2,1.9,29583,493,487,0,0,0,0,3,3,60.0060851926978,98.7829614604462,0,13371,1001,13.3576423576424
"347","Wall Lake",90.5,15.8,3.1,30809,777,777,0,0,0,0,0,0,39.6512226512227,100,0,10416,842,12.3705463182898
"348","Alta",88.8,17.7,3.4,28707,2104,1923,17,0,26,1,108,29,13.6440114068441,91.3973384030418,0.807984790874525,8486,604,14.0496688741722
"349","Merrill",88.9,13.7,6.1,30259,829,766,0,0,3,16,42,2,36.5006031363088,92.400482509047,0,6421,457,14.0503282275711
"350","Danville",94.7,19.4,1.9,31389,1079,1018,18,0,2,0,0,41,29.0908248378128,94.3466172381835,1.66821130676552,5768,333,17.3213213213213
"351","Stanwood",89.9,15.1,3.3,28611,562,554,0,1,3,0,0,4,50.9092526690391,98.576512455516,0,15257,961,15.8761706555671
"352","Raymond",95.7,20.1,3.1,36736,829,799,0,0,0,0,0,30,44.313630880579,96.3811821471653,0,23165,1573,14.7266369993643
"353","Crescent",90.5,20.9,2.2,40550,522,511,0,0,0,0,0,11,77.6819923371648,97.8927203065134,0,10620,595,17.8487394957983
"354","Carlisle",97.3,31.4,3.3,38505,4031,3838,0,0,44,0,0,149,9.55222029273133,95.2121061771273,0,84526,6396,13.2154471544715
"355","Latimer",81.3,13.1,5.8,26146,499,431,29,3,14,0,17,5,52.3967935871744,86.372745490982,5.81162324649299,8285,675,12.2740740740741
"356","Humeston",93.5,9.6,1.1,30333,400,393,0,2,0,0,0,5,75.8325,98.25,0,7652,603,12.6898839137645
"357","Montrose",91.6,6.4,5.3,29643,950,909,0,0,0,0,5,36,31.2031578947368,95.6842105263158,0,8196,580,14.1310344827586
"358","Fairfax",98,40.8,2.3,48346,2418,2386,0,0,9,0,0,23,19.9942100909843,98.6765922249793,0,10798,772,13.9870466321244
"359","New Sharon",94.6,18.5,7.1,32287,1263,1222,0,12,3,0,0,26,25.5637371338084,96.7537608867775,0,14368,964,14.9045643153527
"360","Hospers",92.2,15.7,2.7,35000,756,745,0,0,3,0,0,8,46.2962962962963,98.5449735449735,0,9148,582,15.7182130584192
"361","Manly",89.9,12.4,3.5,22569,1551,1471,6,4,2,0,5,63,14.5512572533849,94.8420373952289,0.386847195357834,10904,711,15.3361462728551
"362","Corwith",85.3,16.2,8.1,25179,230,230,0,0,0,0,0,0,109.473913043478,100,0,11037,798,13.8308270676692
"363","Victor",91.8,12.3,3.4,30881,1026,1021,2,3,0,0,0,0,30.098440545809,99.5126705653021,0.194931773879142,12112,868,13.9539170506912
"364","Delaware",97.2,15.7,1,34000,133,130,0,0,0,0,0,3,255.639097744361,97.7443609022556,0,10479,767,13.6623207301173
"365","Delhi",93.6,22.5,0,32000,445,443,0,0,0,0,2,0,71.9101123595506,99.5505617977528,0,2914,189,15.4179894179894
"366","Minden",92.9,24.3,2.8,41400,634,634,0,0,0,0,0,0,65.2996845425867,100,0,6133,397,15.448362720403
"367","Walford",98.6,33.5,2.3,48152,1428,1393,5,0,6,0,15,9,33.7198879551821,97.5490196078431,0.350140056022409,10129,648,15.6311728395062
"368","Robins",98.2,52.9,2.6,50770,3434,3151,73,0,184,0,4,22,14.784507862551,91.75888177053,2.12580081537565,4371,234,18.6794871794872
"369","Lohrville",91.1,21.9,6.5,29167,384,378,0,3,1,0,1,1,75.9557291666667,98.4375,0,3527,226,15.6061946902655
"370","Shelby",93.3,13.8,3.7,28654,654,648,0,0,4,0,0,2,43.8134556574924,99.0825688073395,0,1350,95,14.2105263157895
"371","Gilbertville",92.5,14.5,3.6,30909,723,703,0,0,0,0,0,20,42.7510373443983,97.2337482710927,0,2150,147,14.6258503401361
"372","Runnells",97.5,10.1,4.5,40231,514,499,5,1,1,0,0,8,78.2704280155642,97.0817120622568,0.972762645914397,4273,235,18.1829787234043
"373","Seymour",84.4,10.1,7.8,24702,656,637,12,0,0,0,0,7,37.655487804878,97.1036585365854,1.82926829268293,2764,180,15.3555555555556
"374","Tabor",88.3,20.1,2.5,33242,1230,1206,11,6,3,0,0,4,27.0260162601626,98.0487804878049,0.894308943089431,4588,210,21.847619047619
"375","Mitchellville",90.3,9,6.1,30329,2271,2023,162,31,8,0,0,47,13.3549097313959,89.079700572435,7.1334214002642,5058,226,22.3805309734513
"376","Albert City",90.9,17,4.1,26510,589,549,17,0,2,0,7,14,45.0084889643463,93.2088285229202,2.88624787775891,1710,88,19.4318181818182
"377","Atkins",94.6,30.8,2,45823,1713,1665,0,0,26,0,0,22,26.7501459427904,97.1978984238179,0,3360,206,16.3106796116505
"378","Alburnett",95.3,21.6,3.4,32115,633,618,0,0,0,0,0,15,50.7345971563981,97.6303317535545,0,667,40,16.675
"379","Stanton",91.7,20,3.1,34236,685,681,0,0,0,0,0,4,49.9795620437956,99.4160583941606,0,1160,70,16.5714285714286
"380","Washta",86.2,17.4,8.5,22500,197,188,0,0,6,0,0,3,114.213197969543,95.4314720812183,0,375,32,11.71875
"381","Van Horne",95.5,20.1,5.3,31731,782,700,0,2,5,0,19,56,40.576726342711,89.5140664961637,0,530,25,21.2
"382","Cumming",98.9,48.7,1.7,61406,415,407,0,0,1,0,0,7,147.966265060241,98.0722891566265,0,14610,876,16.6780821917808
"383","Templeton",87.7,13.8,3.6,29821,384,383,1,0,0,0,0,0,77.6588541666667,99.7395833333333,0.260416666666667,216,4,54
