"","county","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi","income_per_capita","prop_white","prop_black","total.sale","total.volume","price"
"1","Black Hawk",90.8,27,6.3,27979,132821,113015,11778,420,2608,299,1874,2827,0.210651930041183,85.088201413933,8.86757365175688,15289449,1019167,15.0019074400957
"2","Webster",90.6,20.6,6.6,25615,37050,33912,1672,140,433,3,380,510,0.69136302294197,91.5303643724696,4.51282051282051,3416914,246343,13.8705544707988
"3","Fayette",89.8,19.6,4.3,26288,20391,19497,270,109,154,0,66,295,1.28919621401599,95.615712814477,1.32411357952038,1119298,91469,12.2369108659765
"4","Cerro Gordo",93.3,21.9,4.1,28930,43303,41093,682,118,488,0,229,693,0.668083042745306,94.8964274992495,1.57494861787867,5482244,415863,13.1828126089602
"5","Winneshiek",94.4,27.6,2.5,26460,20789,20124,178,41,244,0,72,130,1.27278849391505,96.8011929385733,0.856222040502189,1303940,95201,13.6967048665455
"6","Allamakee",88.1,17,4.7,28718,14001,13497,118,32,61,2,64,227,2.05113920434255,96.4002571244911,0.842796943075495,798742,63015,12.6754264857574
"7","Polk",91.7,35.6,5.2,35121,459159,390415,29390,1277,18813,366,6735,12163,0.0764898433875847,85.0282799640212,6.40083282697279,61059636,3863438,15.8044819148127
"8","Lee",91.8,14.6,7.9,27804,35172,32906,907,48,133,0,185,993,0.790515182531559,93.5573751848061,2.57875582849994,3276570,226823,14.445492741036
"9","Sac",91.7,19.3,3.9,30292,10034,9800,60,0,0,4,52,118,3.01893561889575,97.6679290412597,0.597966912497508,528490,42755,12.3608934627529
"10","Page",88.4,21.9,4.3,29172,15552,14668,379,55,180,0,44,226,1.87577160493827,94.3158436213992,2.43698559670782,1145396,80061,14.3065412622875
"11","Madison",94.4,22.5,4.8,36293,15661,15267,86,5,172,18,29,84,2.31741268118256,97.484196411468,0.549134793435924,650829,48639,13.3808055264294
"12","Dickinson",95.6,29,3.4,31194,17046,16622,62,42,51,16,57,196,1.82998944033791,97.5126129297196,0.363721694239118,3764208,275873,13.6447133282344
"13","Dallas",95.5,47.4,2.2,43120,78074,71336,912,38,2984,79,884,1841,0.552296539180777,91.3697261572354,1.1681225504009,2183590,151238,14.4381041801664
"14","Johnson",94.7,52.4,3.2,28190,142006,118240,8666,199,8737,151,2996,3017,0.198512738898356,83.2640874329254,6.10255904680084,16251212,1019276,15.9438778113092
"15","Buena Vista",78.2,18.7,4.5,26127,20445,16319,601,4,1724,224,1260,313,1.27791636096845,79.8190266568843,2.93959403277085,1689710,121615,13.8939275582782
"16","Adams",92.5,16.7,3.1,29880,3822,3720,19,4,33,0,3,43,7.81789638932496,97.331240188383,0.497121925693354,179649,13276,13.5318620066285
"17","Howard",88.9,13.2,3.7,29845,9430,9271,31,0,24,0,13,91,3.16489925768823,98.3138918345705,0.328738069989396,747407,59960,12.4650933955971
"18","Dubuque",92.3,29.2,4,30044,96359,89975,2571,48,1230,338,290,1907,0.311792359821086,93.374775578825,2.6681472410465,8095940,564610,14.338995058536
"19","Pottawattamie",90,20.7,4.9,31657,93198,87907,1352,304,636,5,1240,1754,0.339674671130282,94.322839545913,1.45067490718685,9366065,624752,14.9916526877865
"20","Warren",95.6,28.8,5.2,36543,48170,46619,193,113,230,51,200,764,0.758625700643554,96.7801536225867,0.400664313888312,2072032,153078,13.5357922105071
"21","Guthrie",92.1,20.5,3.3,31155,10691,10418,26,31,7,0,68,141,2.91413338321953,97.4464502852867,0.243195210925077,450151,34820,12.9279437105112
"22","Franklin",88.6,16.7,5.4,30289,10393,9591,139,8,24,0,510,121,2.91436543827576,92.2832675839507,1.33743866063697,485078,38317,12.6596027872746
"23","Palo Alto",93.6,22.1,2,29352,9155,8833,166,12,46,0,16,82,3.20611687602403,96.4827962861824,1.81321682140907,734665,59267,12.3958526667454
"24","Jones",92.1,16.7,4.5,31388,20481,19578,431,124,104,0,49,195,1.53254235633026,95.5910355939651,2.10438943410966,1085257,89753,12.091595824095
"25","Story",96.3,50.3,5.2,18959,94834,83040,2136,211,6523,29,320,2575,0.199917751017568,87.5635320665584,2.25235674968893,8105026,564589,14.3556215229131
"26","Boone",94.4,22.4,4.3,31885,26411,25618,324,60,36,11,44,318,1.20726212562947,96.9974631782212,1.2267615766158,1372573,103896,13.2110283360283
"27","Des Moines",92.2,19.6,5.7,26580,40114,36446,2239,68,179,0,92,1090,0.662611557062372,90.8560602283492,5.58159246148477,3411903,230557,14.7985227080505
"28","Linn",94.6,32.2,4.2,34878,218076,195251,10174,416,4667,60,1637,5871,0.159935068508227,89.5334653973844,4.66534602615602,23211745,1610480,14.4129358948885
"29","Jasper",92.4,17.9,4.9,30841,36715,35174,550,71,191,41,74,614,0.840010894729674,95.8028053928912,1.49802533024649,1729328,131904,13.1105046094129
"30","Montgomery",89.1,15.5,8.4,26750,10380,9913,0,24,0,0,167,276,2.57707129094412,95.5009633911368,0,589926,43885,13.4425430101401
"31","Appanoose",89.9,18.1,6.6,27485,12602,12289,61,6,62,0,2,182,2.18100301539438,97.5162672591652,0.484050150769719,765877,56082,13.6563781605506
"32","Hardin",91.7,20.4,3.4,30218,17324,16615,215,35,118,0,120,221,1.74428538443777,95.907411683214,1.2410528746248,1265672,96492,13.1168594287609
"33","Wapello",86.3,17.6,7,27318,35242,32003,831,68,323,95,1446,476,0.775154645025821,90.8092616764088,2.35798195335112,2414266,168144,14.3583238176801
"34","Marshall",84.7,19.5,5.9,30035,40735,34008,511,97,1258,15,3779,1067,0.737326623296919,83.4859457469007,1.25444949061004,2850819,199106,14.3180968931122
"35","Clarke",90.7,15.4,4.6,30181,9273,8757,27,0,78,0,228,183,3.25471799849024,94.4354577806535,0.29116790682627,566066,41840,13.5293021032505
"36","Lucas",91.8,16.5,5.1,29072,8700,8498,11,27,0,0,0,164,3.3416091954023,97.6781609195402,0.126436781609195,369919,26684,13.862951581472
"37","Union",91.9,16.4,4.1,27422,12539,12208,124,35,81,7,0,84,2.18693675731717,97.3602360634819,0.988914586490151,919088,68274,13.4617570378182
"38","Scott",93,31.9,4.9,32582,171116,146989,13254,503,4126,17,1858,4369,0.190408845461558,85.9002080460039,7.74562285233409,19303451,1253098,15.4045820837636
"39","Emmet",89.6,17.5,5.3,26767,9820,9443,141,46,30,11,55,94,2.72576374745418,96.1608961303462,1.43584521384929,609251,48678,12.515941493077
"40","Henry",92,18.8,4.9,29894,19941,18325,419,58,528,11,246,354,1.49912241111278,91.8960934757535,2.10119853568026,1029259,71906,14.3139515478541
"41","Monroe",88.1,15.4,5.9,31789,7964,7749,6,0,18,0,146,45,3.99158714213963,97.3003515821195,0.0753390256152687,295811,21696,13.6343565634218
"42","Clay",93.2,20.9,3.3,30109,16478,15770,73,8,30,13,209,375,1.82722417769147,95.7033620585023,0.443014928996237,1456962,117922,12.355302657689
"43","Marion",92.9,25.4,3.9,30916,33197,31849,210,94,356,0,185,503,0.931288971895051,95.9393921137452,0.632587281983312,1869599,132653,14.0939066587261
"44","Muscatine",86.9,20.5,4.5,31151,42949,39253,745,66,474,12,1186,1213,0.725302102493655,91.3944445737968,1.73461547416704,2867649,204491,14.0233506609093
"45","Floyd",89,19.7,3.5,27429,16004,15163,272,66,263,2,43,195,1.71388402899275,94.7450637340665,1.69957510622344,1090852,81626,13.3640261681327
"46","Poweshiek",93.4,22.9,4.3,24258,18622,17632,333,17,373,5,35,227,1.30265277628611,94.6837074428096,1.7882074965095,1311599,93381,14.0456731026654
"47","Washington",90.8,20.9,4.2,31092,22115,21332,195,49,103,11,178,247,1.40592358127967,96.4594166855076,0.881754465295049,1427991,96195,14.844752845782
"48","Kossuth",94.3,19.5,1.8,30793,15226,14818,69,27,87,0,79,146,2.02239590174701,97.3203730461053,0.453172205438067,1538518,114751,13.407447429652
"49","Cass",90.3,19.8,3.3,27884,13433,13117,35,50,71,23,18,119,2.07578351820144,97.6475843073029,0.260552371026576,1092749,81221,13.4540205119366
"50","Carroll",92.9,21.4,2.6,31332,20555,19969,292,14,16,0,70,194,1.52430065677451,97.1491121381659,1.4205789345658,2226799,163762,13.5977760408398
"51","Woodbury",85.7,21.7,5,27239,102426,88291,3149,1570,2832,133,3390,3061,0.265938335969383,86.1997930213032,3.07441469939273,9147132,607625,15.0539098950833
"52","Crawford",78.5,11.7,5.7,28789,17147,15849,286,202,50,29,440,291,1.67895258645827,92.4301627106783,1.66793025018954,1220706,90342,13.5120541940626
"53","Cherokee",90.6,19.2,3.2,30507,11752,11431,83,56,49,0,15,118,2.59589857045609,97.2685500340368,0.706262763784888,712192,55102,12.9249754999819
"54","Mahaska",91.1,23.9,6.3,30435,22324,21361,334,29,238,0,95,267,1.36333094427522,95.6862569432001,1.49614764379144,1199822,87325,13.7397308903521
"55","Jefferson",94.9,33.1,6.6,25128,17662,14839,1011,2,825,0,423,562,1.42271543426566,84.0165326690069,5.72415354999434,806978,55459,14.550893452821
"56","Hamilton",92.2,22,3,32408,15227,14213,97,0,387,0,369,161,2.12832468641229,93.340776252709,0.637026334800026,806193,65235,12.3582892618993
"57","Plymouth",92.1,19.5,3.6,34581,24972,23828,122,46,142,58,505,271,1.38479096588179,95.4188691334294,0.488547172833574,1520478,109926,13.8318323235631
"58","Humboldt",93.1,19.9,3.9,30527,9607,9416,15,19,28,0,4,125,3.17757884875612,98.011866347455,0.156136150723431,624225,49383,12.6404835672195
"59","Clinton",91.6,19.4,4.6,30652,47972,45020,1284,125,313,0,183,1047,0.638956057700325,93.8464104060702,2.67656132744101,3279409,240061,13.6607320639338
"60","Shelby",91.3,21.1,3.3,28962,11944,11484,49,16,37,0,211,147,2.4248158070998,96.1486939048895,0.410247823174816,741809,54083,13.7161215169277
"61","Bremer",95.3,27.9,3.2,31932,24663,23758,265,60,216,39,110,215,1.29473300085148,96.3305356201598,1.0744840449256,1744670,134188,13.0016842042508
"62","Taylor",90.9,13.6,3.3,30590,6209,5960,12,16,44,0,131,46,4.92671927846674,95.9896923820261,0.193267837010791,104845,8153,12.8596835520667
"63","Ringgold",90.8,19.3,5.3,27585,5054,4911,11,20,21,0,57,34,5.4580530273051,97.1705579738821,0.217649386624456,139272,10810,12.8836262719704
"64","Wayne",89.2,13.1,3,26887,6403,6264,41,21,4,0,0,73,4.19912540996408,97.8291425894112,0.640324847727628,104422,7981,13.0838240821952
"65","Sioux",89.9,26.9,1.8,28100,34621,32150,146,81,246,4,1609,385,0.811646110742035,92.8627133820514,0.421709367147107,1418384,104425,13.5828010533876
"66","Decatur",86.9,20.1,5.8,20577,8210,7815,163,37,43,18,21,113,2.50633373934227,95.1887941534714,1.98538367844093,165379,11646,14.200498025073
"67","Greene",92.8,18,5.8,26795,9083,8887,14,16,44,5,0,117,2.9500165143675,97.8421226467026,0.154134096664098,400358,29912,13.3845279486494
"68","Calhoun",92.2,18.4,2.7,26420,9876,9500,164,31,26,0,13,142,2.6751721344674,96.1927906034832,1.66059133252329,334029,28071,11.8994335791386
"69","Davis",86.7,16.6,4.1,28739,8768,8605,16,0,24,0,0,123,3.27771441605839,98.1409671532847,0.182481751824818,93510,7929,11.7934165720772
"70","Hancock",92.7,19.9,1.8,31848,11006,10661,86,19,40,9,34,157,2.89369434853716,96.8653461748137,0.781391968017445,279327,24769,11.2772820864791
"71","Wright",90,17,6.2,30756,12891,12022,63,26,73,0,530,177,2.38585059343728,93.2588627724769,0.4887130556202,684151,55156,12.4039270432954
"72","Delaware",90.7,15.1,3.4,31331,17445,17154,33,5,63,0,13,177,1.79598738893666,98.3319002579536,0.189165950128977,886051,65523,13.5227477374357
"73","Louisa",82.7,13.3,4.3,30488,11251,10414,142,31,379,13,233,39,2.70980357301573,92.5606612745534,1.26211003466359,226006,16854,13.4096356947906
"74","Iowa",92.1,18.6,1.8,31660,16326,15972,105,8,26,10,49,156,1.93923802523582,97.8316795295847,0.643145902241823,595007,51135,11.6360027378508
"75","Jackson",91.2,16.5,4.8,30949,19529,18947,70,15,78,120,33,266,1.58477136566132,97.0198166828819,0.358441292436889,1143777,88054,12.989495082563
"76","Mitchell",91.2,15.7,3.6,30757,10757,10528,9,26,40,0,6,148,2.85925443896997,97.8711536673794,0.0836664497536488,408060,33302,12.2533181190319
"77","Chickasaw",90.3,14.5,3.2,31574,12164,11946,90,30,40,0,20,38,2.59569220651102,98.2078263729037,0.739888194672805,360961,31297,11.5334057577404
"78","Grundy",95.4,25.1,3.8,36396,12373,12169,42,4,77,0,8,73,2.94156631374768,98.3512486866564,0.339448799806029,295815,24806,11.925139079255
"79","Harrison",91,17.4,2.8,32019,14335,13978,7,66,44,7,35,198,2.23362399720963,97.5095919079177,0.0488315312173003,454700,34557,13.1579708886767
"80","Ida",93.3,19,3.6,29776,7041,6885,6,56,22,0,21,51,4.22894475216589,97.7844056242011,0.0852151682999574,475534,34926,13.6154727137376
"81","Pocahontas",93.2,16.9,4.8,30786,7061,6778,103,6,16,10,49,99,4.36000566491998,95.9920691120238,1.45871689562385,329097,29118,11.3021842159489
"82","Audubon",89.6,13.1,2.8,27310,5793,5636,22,38,11,0,0,86,4.71431037459002,97.2898325565338,0.37976868634559,160752,14102,11.3992341511842
"83","Buchanan",92.3,18,3.8,32409,21031,20519,72,76,104,0,83,177,1.54101088868813,97.5654985497599,0.342351766440017,1006200,76854,13.092356936529
"84","Worth",92.3,15.3,6.3,28517,7562,7347,68,6,14,1,5,121,3.77109230362338,97.1568368156572,0.899233007140968,218453,17672,12.3615323675871
"85","Butler",91.9,15.7,3.2,31209,14933,14648,45,43,84,11,11,91,2.08993504319293,98.0914752561441,0.301346012187772,260473,22709,11.4700339072614
"86","Clayton",91,15.3,4,29261,17735,17377,110,40,80,0,0,128,1.64990132506343,97.9813927262475,0.620242458415562,576582,43993,13.1062214443207
"87","Lyon",90.6,21.3,1.9,32119,11730,11385,6,70,29,8,124,108,2.7381926683717,97.0588235294118,0.051150895140665,673442,48259,13.9547441927931
"88","Monona",90.5,16.6,4.1,26740,9013,8741,50,110,10,0,12,90,2.96682569621658,96.9821369133474,0.554754243869966,515734,38051,13.5537568000841
"89","Keokuk",91.3,17,5.5,30379,10234,10026,1,7,51,7,35,107,2.96843853820598,97.9675591166699,0.00977135040062537,138369,12249,11.296350722508
"90","Tama",90.6,16.3,5.7,31113,17423,15442,88,1290,60,9,214,320,1.78574298341273,88.6299718762555,0.505079492624692,622690,49107,12.6802696153298
"91","Adair",93.4,16.6,2.8,31506,7330,7188,21,1,35,0,8,77,4.29822646657572,98.06275579809,0.286493860845839,232772,18061,12.8881014340291
"92","Mills",93.3,23.9,3.9,35694,14841,14460,111,121,22,0,9,118,2.40509399636143,97.4327875480089,0.747928037194259,441150,33442,13.19149572394
"93","Cedar",93.4,22,3.3,34919,18389,17852,108,27,149,0,57,196,1.89890695524498,97.0797759530154,0.587307629561151,481756,38889,12.3879760343542
"94","Benton",92.8,21.8,3.8,34563,25720,25147,140,10,79,0,47,297,1.34381804043546,97.7721617418351,0.544323483670295,696284,55879,12.4605665813633
"95","Winnebago",91,21.6,6.6,28874,10580,10088,79,81,119,1,40,172,2.72911153119093,95.3497164461248,0.746691871455577,688511,54764,12.5723285369951
"96","Van Buren",88.3,12.7,3.7,29712,7380,7229,43,7,3,0,6,92,4.0260162601626,97.9539295392954,0.582655826558266,183392,13000,14.1070769230769
"97","Osceola",87.6,16.6,2.7,26997,6154,5871,25,11,25,6,155,61,4.38690282742931,95.4013649658759,0.4062398440039,233323,18240,12.7918311403509
"98","Fremont",92.1,21.4,3.9,32643,7019,6765,41,50,0,0,83,80,4.65066248753384,96.3812508904402,0.584128793275395,25053,1589,15.7665198237885
