,city,high.school,bachelor,unemployment,income,Average Income,population,pop.white,% White,pop.black,% Black,pop.indian,% Indian,pop.asian,% Asian,pop.hawai,% Hawai,pop.other,% Other Racial Groups,pop.multi,% Multi-racial Group,income_per_capita,prop_white,prop_black,total.sale,total.volume,price,Sales Per Person
278,Grand Junction,91.7,9.6,13.9,24643,29.40692124,838,838,100,0,0,0,0,0,0,0,0,0,0,0,0,29.40692124,100,0,20096,1535,13.09185668,23.98090692
279,Exira,86.6,8.1,5.9,26767,30.38251986,881,860,97.61634506,11,1.248581158,0,0,0,0,0,0,0,0,10,1.13507378,30.38251986,97.61634506,1.248581158,31792,2484,12.79871176,36.08626561
280,Nora Springs,92.7,15,2.8,30074,19.19208679,1567,1520,97.00063816,10,0.638162093,0,0,0,0,0,0,2,0.127632419,35,2.233567326,19.19208679,97.00063816,0.638162093,26940,2341,11.50790261,17.19208679
281,Akron,86.5,14.3,4.6,25769,17.35286195,1485,1477,99.46127946,0,0,0,0,0,0,0,0,0,0,8,0.538720539,17.35286195,99.46127946,0,31070,2495,12.45290581,20.92255892
282,Gilmore City,91.7,13.6,7.5,30000,63.55932203,472,470,99.57627119,0,0,0,0,2,0.423728814,0,0,0,0,0,0,63.55932203,99.57627119,0,19495,1627,11.98217578,41.3029661
283,Ely,97.6,37.4,4,45455,21.31036099,2133,2039,95.59306142,5,0.234411627,0,0,18,0.843881857,0,0,7,0.328176278,64,3.000468823,21.31036099,95.59306142,0.234411627,30647,2191,13.98767686,14.36802625
284,Afton,89.4,11.5,5.7,27457,28.39400207,967,953,98.55222337,2,0.206825233,6,0.620475698,2,0.206825233,0,0,0,0,4,0.413650465,28.39400207,98.55222337,0.206825233,31999,2394,13.3663325,33.0910031
285,Preston,90.4,13.9,1.4,29219,28.17647059,1037,1029,99.22854388,0,0,2,0.192864031,0,0,0,0,0,0,6,0.578592093,28.17647059,99.22854388,0,10143,846,11.9893617,9.781099325
286,Clarksville,86.7,10.5,5.8,30443,23.85815047,1276,1253,98.19749216,10,0.78369906,0,0,0,0,0,0,0,0,13,1.018808777,23.85815047,98.19749216,0.78369906,40626,3454,11.76201506,31.83855799
287,Scranton,90.4,9.8,14.4,22950,40.61946903,565,565,100,0,0,0,0,0,0,0,0,0,0,0,0,40.61946903,100,0,20794,1530,13.59084967,36.80353982
288,Delmar,92.8,16.8,5.4,31597,63.57545272,497,472,94.96981891,0,0,17,3.420523139,0,0,0,0,6,1.207243461,2,0.402414487,63.57545272,94.96981891,0,11239,883,12.72819932,22.61368209
289,Glidden,93.9,19.1,5.5,27313,19.20745429,1422,1400,98.45288326,17,1.195499297,5,0.35161744,0,0,0,0,0,0,0,0,19.20745429,98.45288326,1.195499297,28285,2130,13.27934272,19.89099859
290,Walker,93.1,10.9,2.5,35742,42.49940547,841,841,100,0,0,0,0,0,0,0,0,0,0,0,0,42.49940547,100,0,21135,1567,13.48755584,25.13079667
291,Colo,93.3,17.2,5,30964,34.94808126,886,875,98.75846501,0,0,0,0,0,0,0,0,2,0.225733634,9,1.015801354,34.94808126,98.75846501,0,39066,3032,12.88456464,44.09255079
292,Urbana,93.6,22.4,2,44048,30.50415512,1444,1408,97.50692521,30,2.077562327,2,0.138504155,0,0,0,0,0,0,4,0.27700831,30.50415512,97.50692521,2.077562327,34925,2702,12.92561066,24.18628809
293,Buffalo,85.9,5.6,3.2,31575,25.75448613,1226,1203,98.12398042,5,0.407830343,12,0.978792822,0,0,0,0,2,0.163132137,4,0.326264274,25.75448613,98.12398042,0.407830343,33458,2563,13.05423332,27.2903752
294,Sheffield,91.8,17.5,5.7,31210,24.32579891,1283,1265,98.59703819,0,0,0,0,4,0.311769291,0,0,4,0.311769291,10,0.779423227,24.32579891,98.59703819,0,24107,2081,11.58433445,18.78955573
295,Donnellson,92.3,14.2,2.2,29758,34.60232558,860,854,99.30232558,0,0,0,0,0,0,0,0,0,0,6,0.697674419,34.60232558,99.30232558,0,20303,1334,15.21964018,23.60813953
296,Goldfield,89.7,10.3,2.9,30673,48.84235669,628,626,99.68152866,0,0,0,0,2,0.318471338,0,0,0,0,0,0,48.84235669,99.68152866,0,20179,1732,11.65069284,32.13216561
297,Traer,92.2,20.2,5,31740,18.28341014,1736,1705,98.21428571,0,0,0,0,6,0.34562212,3,0.17281106,3,0.17281106,19,1.094470046,18.28341014,98.21428571,0,95442,8152,11.70780177,54.9781106
298,Mechanicsville,94.9,21.1,1.1,31607,30.04467681,1052,1047,99.52471483,0,0,0,0,0,0,0,0,0,0,5,0.475285171,30.04467681,99.52471483,0,28108,1970,14.2680203,26.71863118
299,Ireton,91.5,22,1.6,26481,39.82105263,665,601,90.37593985,2,0.30075188,4,0.601503759,2,0.30075188,0,0,0,0,56,8.421052632,39.82105263,90.37593985,0.30075188,16087,1075,14.96465116,24.19097744
300,Durant,93.9,22.8,1.2,36226,17.82775591,2032,1976,97.24409449,0,0,8,0.393700787,5,0.246062992,0,0,0,0,43,2.116141732,17.82775591,97.24409449,0,69461,5948,11.67804304,34.18356299
301,Sutherland,92.6,12,2.6,27000,45.37815126,595,586,98.48739496,4,0.672268908,0,0,0,0,3,0.504201681,0,0,2,0.336134454,45.37815126,98.48739496,0.672268908,40862,3265,12.5151608,68.67563025
302,Allison,92.6,16.5,2.9,33583,27.48199673,1222,1148,93.94435352,9,0.736497545,0,0,59,4.828150573,0,0,0,0,6,0.490998363,27.48199673,93.94435352,0.736497545,75212,6695,11.23405527,61.54828151
303,Hamburg,89.7,16.6,3.7,25417,22.7955157,1115,1085,97.30941704,0,0,5,0.448430493,0,0,0,0,0,0,25,2.242152466,22.7955157,97.30941704,0,20466,1378,14.85195936,18.35515695
304,Whittemore,97.7,12.3,2,31333,62.16865079,504,485,96.23015873,12,2.380952381,5,0.992063492,0,0,0,0,2,0.396825397,0,0,62.16865079,96.23015873,2.380952381,13344,973,13.71428571,26.47619048
305,Slater,98.4,39.1,1,38707,23.93753865,1617,1603,99.13419913,0,0,7,0.432900433,0,0,0,0,0,0,7,0.432900433,23.93753865,99.13419913,0,43410,3189,13.61241769,26.84601113
306,Woodward,77.9,9.2,4,33347,20.57186922,1621,1524,94.01603948,43,2.652683529,0,0,0,0,0,0,7,0.431832202,47,2.899444787,20.57186922,94.01603948,2.652683529,28494,2194,12.98723792,17.57803825
307,Farmington,83.1,8.5,4.3,22340,23.24661811,961,913,95.00520291,0,0,0,0,0,0,0,0,0,0,48,4.994797086,23.24661811,95.00520291,0,27643,1998,13.83533534,28.7648283
308,Grand Mound,96,16.7,4.2,29107,52.2567325,557,549,98.56373429,1,0.179533214,0,0,0,0,0,0,0,0,7,1.256732496,52.2567325,98.56373429,0.179533214,37275,2967,12.56319515,66.92100539
309,Farley,95.2,17,0.8,37586,22.26658768,1688,1685,99.82227488,0,0,0,0,0,0,0,0,0,0,3,0.177725118,22.26658768,99.82227488,0,29061,2306,12.60234172,17.21623223
310,Rock Valley,89,19.8,3.6,26688,7.366271046,3623,3553,98.06789953,21,0.579630141,0,0,13,0.358818659,0,0,23,0.634833011,13,0.358818659,7.366271046,98.06789953,0.579630141,128708,9055,14.2140254,35.52525531
311,Pacific Junction,76.5,6.3,3.4,25417,62.44963145,407,384,94.34889435,19,4.668304668,4,0.982800983,0,0,0,0,0,0,0,0,62.44963145,94.34889435,4.668304668,95733,6414,14.92563143,235.2162162
312,Fonda,88.6,13.9,3.9,28958,55.15809524,525,505,96.19047619,2,0.380952381,0,0,0,0,2,0.380952381,0,0,16,3.047619048,55.15809524,96.19047619,0.380952381,14929,1152,12.95920139,28.43619048
313,Maxwell,96.4,20.4,1.9,36042,42.95828367,839,809,96.42431466,0,0,0,0,21,2.502979738,0,0,0,0,9,1.072705602,42.95828367,96.42431466,0,31442,2481,12.67311568,37.47556615
314,Van Meter,96.1,32.7,1.4,36771,29.27627389,1256,1247,99.28343949,0,0,0,0,2,0.159235669,0,0,0,0,7,0.557324841,29.27627389,99.28343949,0,18148,1379,13.16026106,14.44904459
315,Sully,93.9,15.3,1.9,30071,35.67141163,843,781,92.64531435,22,2.609727165,0,0,0,0,0,0,0,0,40,4.744958482,35.67141163,92.64531435,2.609727165,14403,969,14.86377709,17.08540925
316,Carter Lake,90.2,17.4,8.7,31875,8.466135458,3765,3548,94.23638778,102,2.709163347,26,0.690571049,0,0,0,0,14,0.37184595,75,1.992031873,8.466135458,94.23638778,2.709163347,76234,5238,14.55402826,20.24807437
317,Swea City,88.2,14.9,1,24844,44.44364937,559,511,91.41323792,0,0,19,3.398926655,0,0,0,0,16,2.862254025,13,2.325581395,44.44364937,91.41323792,0,47254,3862,12.23562921,84.53309481
318,Prairie City,94.1,22.2,2.5,36050,18.27166751,1973,1931,97.87126204,9,0.456158135,0,0,3,0.152052712,0,0,2,0.101368474,28,1.419158642,18.27166751,97.87126204,0.456158135,22182,1913,11.5953999,11.2427775
319,Wellsburg,92.8,20.2,4.8,31875,34.31108719,929,903,97.20129171,0,0,0,0,3,0.322927879,0,0,0,0,23,2.475780409,34.31108719,97.20129171,0,18058,1661,10.871764,19.43810549
320,Peosta,95.4,32,2.8,36406,19.35459862,1881,1711,90.96225412,95,5.050505051,1,0.053163211,6,0.318979266,0,0,0,0,68,3.615098352,19.35459862,90.96225412,5.050505051,32478,2221,14.62314273,17.26634769
321,Bevington,90,0,5.9,29167,540.1296296,54,53,98.14814815,0,0,1,1.851851852,0,0,0,0,0,0,0,0,540.1296296,98.14814815,0,36263,2593,13.98495951,671.537037
322,Baldwin,90.9,7.3,6.7,19688,134.8493151,146,145,99.31506849,0,0,0,0,0,0,0,0,0,0,1,0.684931507,134.8493151,99.31506849,0,28270,2285,12.37199125,193.630137
323,Bondurant,94.2,34.8,1.1,43068,8.479621973,5079,4939,97.24355188,0,0,0,0,82,1.614491042,0,0,0,0,58,1.141957078,8.479621973,97.24355188,0,82743,5926,13.96270672,16.29119905
324,Elma,92.3,12,0.8,30819,54.83807829,562,560,99.64412811,0,0,0,0,0,0,0,0,0,0,2,0.355871886,54.83807829,99.64412811,0,75488,5982,12.61919091,134.3202847
325,Hudson,98.3,34.5,4.7,41672,17.26263463,2414,2392,99.08864954,0,0,0,0,11,0.455675228,0,0,11,0.455675228,0,0,17.26263463,99.08864954,0,31974,2249,14.21698533,13.24523612
326,Dakota City,90.6,9.2,2.8,31250,43.82889201,713,711,99.71949509,0,0,0,0,0,0,0,0,0,0,2,0.280504909,43.82889201,99.71949509,0,12760,1195,10.67782427,17.89621318
327,Early,95.9,17.2,5.8,27330,39.09871245,699,650,92.98998569,36,5.150214592,0,0,0,0,0,0,0,0,13,1.859799714,39.09871245,92.98998569,5.150214592,19451,1409,13.80482612,27.82689557
328,Nashua,91.6,13.6,7.6,26613,16.49907006,1613,1607,99.62802232,0,0,0,0,0,0,0,0,0,0,6,0.371977681,16.49907006,99.62802232,0,37382,3258,11.47391037,23.17544947
329,Lovilia,91.1,5.3,16.9,25893,43.155,600,600,100,0,0,0,0,0,0,0,0,0,0,0,0,43.155,100,0,7415,456,16.26096491,12.35833333
330,Murray,93.2,7.6,5.3,30801,46.59757943,661,655,99.09228442,0,0,0,0,0,0,0,0,0,0,6,0.907715582,46.59757943,99.09228442,0,1572,117,13.43589744,2.378214826
331,Lisbon,93.8,26.2,4.1,36716,19.24318658,1908,1827,95.75471698,31,1.624737945,18,0.943396226,0,0,0,0,13,0.681341719,19,0.995807128,19.24318658,95.75471698,1.624737945,76510,6020,12.70930233,40.09958071
332,Rolfe,82.4,15.2,3.5,26094,45.61888112,572,535,93.53146853,0,0,0,0,0,0,0,0,30,5.244755245,7,1.223776224,45.61888112,93.53146853,0,21697,1470,14.75986395,37.93181818
333,Harpers Ferry,89.1,14.7,4.5,24063,89.78731343,268,268,100,0,0,0,0,0,0,0,0,0,0,0,0,89.78731343,100,0,17293,1386,12.47691198,64.5261194
334,Earlham,97.4,28,2.8,37649,24.7202889,1523,1487,97.63624425,36,2.363755745,0,0,0,0,0,0,0,0,0,0,24.7202889,97.63624425,2.363755745,19367,1496,12.94585561,12.71634931
335,Granger,93.4,38.3,1.8,43856,30.01779603,1461,1414,96.78302533,7,0.479123888,1,0.06844627,0,0,0,0,35,2.395619439,4,0.273785079,30.01779603,96.78302533,0.479123888,25701,2226,11.5458221,17.59137577
336,Zwingle,83.6,7.5,0,38125,366.5865385,104,97,93.26923077,0,0,0,0,0,0,0,0,0,0,7,6.730769231,366.5865385,93.26923077,0,24733,1659,14.90837854,237.8173077
337,Graettinger,88.3,11.2,2.5,29432,41.10614525,716,700,97.76536313,12,1.675977654,0,0,0,0,0,0,4,0.558659218,0,0,41.10614525,97.76536313,1.675977654,31845,2651,12.01244813,44.47625698
338,Elkader,92.8,24,4.6,29659,22.38415094,1325,1309,98.79245283,6,0.452830189,0,0,4,0.301886792,0,0,0,0,6,0.452830189,22.38415094,98.79245283,0.452830189,43094,3117,13.82547321,32.52377358
339,Princeton,93,24.3,4.4,40237,36.57909091,1100,1027,93.36363636,0,0,0,0,0,0,0,0,5,0.454545455,68,6.181818182,36.57909091,93.36363636,0,16312,1407,11.59346127,14.82909091
340,Aurelia,92.7,16.6,5.5,32305,33.82722513,955,929,97.27748691,0,0,0,0,14,1.465968586,0,0,0,0,12,1.256544503,33.82722513,97.27748691,0,8467,652,12.98619632,8.865968586
341,Springville,94.9,16.1,6.5,35781,33.44018692,1070,1070,100,0,0,0,0,0,0,0,0,0,0,0,0,33.44018692,100,0,16463,1386,11.87806638,15.38598131
342,Hazleton,90.9,3.6,8,24375,30.69899244,794,775,97.6070529,2,0.251889169,12,1.511335013,0,0,0,0,0,0,5,0.629722922,30.69899244,97.6070529,0.251889169,25351,1709,14.83382095,31.92821159
343,Eldon,83.6,7.3,12.2,28750,32.30337079,890,874,98.20224719,0,0,10,1.123595506,0,0,0,0,6,0.674157303,0,0,32.30337079,98.20224719,0,17846,1315,13.57110266,20.05168539
344,Martensdale,93.2,9.7,7.2,31765,70.27654867,452,448,99.11504425,0,0,0,0,0,0,0,0,1,0.221238938,3,0.663716814,70.27654867,99.11504425,0,11368,712,15.96629213,25.15044248
345,Wheatland,89.1,10.2,6.7,30833,43.30477528,712,688,96.62921348,0,0,0,0,4,0.561797753,0,0,0,0,20,2.808988764,43.30477528,96.62921348,0,10657,820,12.99634146,14.96769663
346,Lost Nation,84.3,14.2,1.9,29583,60.00608519,493,487,98.78296146,0,0,0,0,0,0,0,0,3,0.60851927,3,0.60851927,60.00608519,98.78296146,0,13371,1001,13.35764236,27.12170385
347,Wall Lake,90.5,15.8,3.1,30809,39.65122265,777,777,100,0,0,0,0,0,0,0,0,0,0,0,0,39.65122265,100,0,10416,842,12.37054632,13.40540541
348,Alta,88.8,17.7,3.4,28707,13.64401141,2104,1923,91.3973384,17,0.807984791,0,0,26,1.235741445,1,0.047528517,108,5.133079848,29,1.378326996,13.64401141,91.3973384,0.807984791,8486,604,14.04966887,4.033269962
349,Merrill,88.9,13.7,6.1,30259,36.50060314,829,766,92.40048251,0,0,0,0,3,0.361881785,16,1.930036188,42,5.066344994,2,0.241254524,36.50060314,92.40048251,0,6421,457,14.05032823,7.745476478
350,Danville,94.7,19.4,1.9,31389,29.09082484,1079,1018,94.34661724,18,1.668211307,0,0,2,0.185356812,0,0,0,0,41,3.799814643,29.09082484,94.34661724,1.668211307,5768,333,17.32132132,5.345690454
351,Stanwood,89.9,15.1,3.3,28611,50.90925267,562,554,98.57651246,0,0,1,0.177935943,3,0.533807829,0,0,0,0,4,0.711743772,50.90925267,98.57651246,0,15257,961,15.87617066,27.14768683
352,Raymond,95.7,20.1,3.1,36736,44.31363088,829,799,96.38118215,0,0,0,0,0,0,0,0,0,0,30,3.618817853,44.31363088,96.38118215,0,23165,1573,14.726637,27.94330519
353,Crescent,90.5,20.9,2.2,40550,77.68199234,522,511,97.89272031,0,0,0,0,0,0,0,0,0,0,11,2.107279693,77.68199234,97.89272031,0,10620,595,17.8487395,20.34482759
354,Carlisle,97.3,31.4,3.3,38505,9.552220293,4031,3838,95.21210618,0,0,0,0,44,1.091540561,0,0,0,0,149,3.696353262,9.552220293,95.21210618,0,84526,6396,13.21544715,20.96899032
355,Latimer,81.3,13.1,5.8,26146,52.39679359,499,431,86.37274549,29,5.811623246,3,0.601202405,14,2.805611222,0,0,17,3.406813627,5,1.002004008,52.39679359,86.37274549,5.811623246,8285,675,12.27407407,16.60320641
356,Humeston,93.5,9.6,1.1,30333,75.8325,400,393,98.25,0,0,2,0.5,0,0,0,0,0,0,5,1.25,75.8325,98.25,0,7652,603,12.68988391,19.13
357,Montrose,91.6,6.4,5.3,29643,31.20315789,950,909,95.68421053,0,0,0,0,0,0,0,0,5,0.526315789,36,3.789473684,31.20315789,95.68421053,0,8196,580,14.13103448,8.627368421
358,Fairfax,98,40.8,2.3,48346,19.99421009,2418,2386,98.67659222,0,0,0,0,9,0.372208437,0,0,0,0,23,0.951199338,19.99421009,98.67659222,0,10798,772,13.98704663,4.465674111
359,New Sharon,94.6,18.5,7.1,32287,25.56373713,1263,1222,96.75376089,0,0,12,0.950118765,3,0.237529691,0,0,0,0,26,2.058590657,25.56373713,96.75376089,0,14368,964,14.90456432,11.37608868
360,Hospers,92.2,15.7,2.7,35000,46.2962963,756,745,98.54497354,0,0,0,0,3,0.396825397,0,0,0,0,8,1.058201058,46.2962963,98.54497354,0,9148,582,15.71821306,12.1005291
361,Manly,89.9,12.4,3.5,22569,14.55125725,1551,1471,94.8420374,6,0.386847195,4,0.25789813,2,0.128949065,0,0,5,0.322372663,63,4.061895551,14.55125725,94.8420374,0.386847195,10904,711,15.33614627,7.03030303
362,Corwith,85.3,16.2,8.1,25179,109.473913,230,230,100,0,0,0,0,0,0,0,0,0,0,0,0,109.473913,100,0,11037,798,13.83082707,47.98695652
363,Victor,91.8,12.3,3.4,30881,30.09844055,1026,1021,99.51267057,2,0.194931774,3,0.292397661,0,0,0,0,0,0,0,0,30.09844055,99.51267057,0.194931774,12112,868,13.95391705,11.80506823
364,Delaware,97.2,15.7,1,34000,255.6390977,133,130,97.7443609,0,0,0,0,0,0,0,0,0,0,3,2.255639098,255.6390977,97.7443609,0,10479,767,13.66232073,78.78947368
365,Delhi,93.6,22.5,0,32000,71.91011236,445,443,99.5505618,0,0,0,0,0,0,0,0,2,0.449438202,0,0,71.91011236,99.5505618,0,2914,189,15.41798942,6.548314607
366,Minden,92.9,24.3,2.8,41400,65.29968454,634,634,100,0,0,0,0,0,0,0,0,0,0,0,0,65.29968454,100,0,6133,397,15.44836272,9.673501577
367,Walford,98.6,33.5,2.3,48152,33.71988796,1428,1393,97.54901961,5,0.350140056,0,0,6,0.420168067,0,0,15,1.050420168,9,0.630252101,33.71988796,97.54901961,0.350140056,10129,648,15.63117284,7.093137255
368,Robins,98.2,52.9,2.6,50770,14.78450786,3434,3151,91.75888177,73,2.125800815,0,0,184,5.358182877,0,0,4,0.116482236,22,0.640652301,14.78450786,91.75888177,2.125800815,4371,234,18.67948718,1.272859639
369,Lohrville,91.1,21.9,6.5,29167,75.95572917,384,378,98.4375,0,0,3,0.78125,1,0.260416667,0,0,1,0.260416667,1,0.260416667,75.95572917,98.4375,0,3527,226,15.60619469,9.184895833
370,Shelby,93.3,13.8,3.7,28654,43.81345566,654,648,99.08256881,0,0,0,0,4,0.611620795,0,0,0,0,2,0.305810398,43.81345566,99.08256881,0,1350,95,14.21052632,2.064220183
371,Gilbertville,92.5,14.5,3.6,30909,42.75103734,723,703,97.23374827,0,0,0,0,0,0,0,0,0,0,20,2.766251729,42.75103734,97.23374827,0,2150,147,14.62585034,2.973720609
372,Runnells,97.5,10.1,4.5,40231,78.27042802,514,499,97.08171206,5,0.972762646,1,0.194552529,1,0.194552529,0,0,0,0,8,1.556420233,78.27042802,97.08171206,0.972762646,4273,235,18.18297872,8.313229572
373,Seymour,84.4,10.1,7.8,24702,37.6554878,656,637,97.10365854,12,1.829268293,0,0,0,0,0,0,0,0,7,1.067073171,37.6554878,97.10365854,1.829268293,2764,180,15.35555556,4.213414634
374,Tabor,88.3,20.1,2.5,33242,27.02601626,1230,1206,98.04878049,11,0.894308943,6,0.487804878,3,0.243902439,0,0,0,0,4,0.325203252,27.02601626,98.04878049,0.894308943,4588,210,21.84761905,3.730081301
375,Mitchellville,90.3,9,6.1,30329,13.35490973,2271,2023,89.07970057,162,7.1334214,31,1.365037428,8,0.352267723,0,0,0,0,47,2.069572875,13.35490973,89.07970057,7.1334214,5058,226,22.38053097,2.227212682
376,Albert City,90.9,17,4.1,26510,45.00848896,589,549,93.20882852,17,2.886247878,0,0,2,0.339558574,0,0,7,1.188455008,14,2.376910017,45.00848896,93.20882852,2.886247878,1710,88,19.43181818,2.903225806
377,Atkins,94.6,30.8,2,45823,26.75014594,1713,1665,97.19789842,0,0,0,0,26,1.51780502,0,0,0,0,22,1.284296556,26.75014594,97.19789842,0,3360,206,16.31067961,1.961471103
378,Alburnett,95.3,21.6,3.4,32115,50.73459716,633,618,97.63033175,0,0,0,0,0,0,0,0,0,0,15,2.369668246,50.73459716,97.63033175,0,667,40,16.675,1.05371248
379,Stanton,91.7,20,3.1,34236,49.97956204,685,681,99.41605839,0,0,0,0,0,0,0,0,0,0,4,0.583941606,49.97956204,99.41605839,0,1160,70,16.57142857,1.693430657
380,Washta,86.2,17.4,8.5,22500,114.213198,197,188,95.43147208,0,0,0,0,6,3.045685279,0,0,0,0,3,1.52284264,114.213198,95.43147208,0,375,32,11.71875,1.903553299
381,Van Horne,95.5,20.1,5.3,31731,40.57672634,782,700,89.5140665,0,0,2,0.255754476,5,0.639386189,0,0,19,2.429667519,56,7.16112532,40.57672634,89.5140665,0,530,25,21.2,0.677749361
382,Cumming,98.9,48.7,1.7,61406,147.9662651,415,407,98.07228916,0,0,0,0,1,0.240963855,0,0,0,0,7,1.686746988,147.9662651,98.07228916,0,14610,876,16.67808219,35.20481928
383,Templeton,87.7,13.8,3.6,29821,77.65885417,384,383,99.73958333,1,0.260416667,0,0,0,0,0,0,0,0,0,0,77.65885417,99.73958333,0.260416667,216,4,54,0.5625
